@RELATION activityRelation 
@ATTRIBUTE preActivity {Sleeping,Bathing,UsingPC,Leave_Home,Enter_Home,Eating,Exercise}
@ATTRIBUTE currentActivity {Sleeping,Bathing,UsingPC,Leave_Home,Enter_Home,Eating,Exercise}
@ATTRIBUTE startTime {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@ATTRIBUTE nextStartTime {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE dayofweek {0,1,2,3,4,5,6}
@ATTRIBUTE NextActivity {Sleeping,Bathing,UsingPC,Leave_Home,Enter_Home,Eating,Exercise}
@data
Eating,UsingPC,17,17,287,5,Leave_Home
UsingPC,Leave_Home,18,18,47,5,Enter_Home
Leave_Home,Enter_Home,18,18,2,5,Eating
Enter_Home,Eating,20,20,84,5,UsingPC
Eating,UsingPC,23,23,165,5,Bathing
UsingPC,Bathing,23,23,32,5,Sleeping
Bathing,Sleeping,6,6,376,5,Eating
Sleeping,Eating,6,7,24,6,Exercise
Eating,Exercise,8,8,77,6,Bathing
Exercise,Bathing,9,9,23,6,UsingPC
Bathing,UsingPC,11,11,157,6,Eating
UsingPC,Eating,13,13,64,6,UsingPC
Eating,UsingPC,17,17,289,6,Leave_Home
UsingPC,Leave_Home,18,18,38,6,Enter_Home
Leave_Home,Enter_Home,18,18,2,6,Eating
Enter_Home,Eating,19,20,69,6,UsingPC
Eating,UsingPC,23,23,180,6,Bathing
UsingPC,Bathing,23,23,17,6,Sleeping
Bathing,Sleeping,5,5,379,6,Eating
Sleeping,Eating,6,6,12,0,Leave_Home
Eating,Leave_Home,6,6,37,0,Enter_Home
Leave_Home,Enter_Home,6,7,2,0,Exercise
Enter_Home,Exercise,8,8,90,0,Bathing
Exercise,Bathing,8,8,22,0,UsingPC
Bathing,UsingPC,11,11,175,0,Eating
UsingPC,Eating,13,13,69,0,UsingPC
Eating,UsingPC,18,18,298,0,Leave_Home
UsingPC,Leave_Home,18,18,30,0,Enter_Home
Leave_Home,Enter_Home,18,18,2,0,Eating
Enter_Home,Eating,19,19,37,0,UsingPC
Eating,UsingPC,23,23,210,0,Bathing
UsingPC,Bathing,23,23,34,0,Sleeping
Bathing,Sleeping,8,8,550,0,Eating
Sleeping,Eating,9,9,16,1,Exercise
Eating,Exercise,10,11,97,1,Bathing
Exercise,Bathing,11,11,30,1,UsingPC
Bathing,UsingPC,17,17,370,1,Eating
UsingPC,Eating,18,18,56,1,UsingPC
Eating,UsingPC,23,23,283,1,Sleeping
UsingPC,Sleeping,8,8,539,1,Eating
Sleeping,Eating,9,9,36,2,Exercise
Eating,Exercise,11,11,106,2,Bathing
Exercise,Bathing,11,12,31,2,UsingPC
Bathing,UsingPC,18,19,409,2,Eating
UsingPC,Eating,20,20,106,2,UsingPC
Eating,UsingPC,23,23,126,2,Sleeping
UsingPC,Sleeping,6,6,419,2,Eating
Sleeping,Eating,6,6,26,3,Leave_Home
Eating,Leave_Home,7,7,26,3,Enter_Home
Leave_Home,Enter_Home,7,7,3,3,Exercise
Enter_Home,Exercise,8,8,94,3,Bathing
Exercise,Bathing,9,9,18,3,UsingPC
Bathing,UsingPC,12,12,162,3,Eating
UsingPC,Eating,13,13,57,3,UsingPC
Eating,UsingPC,17,18,288,3,Eating
UsingPC,Eating,19,19,60,3,Leave_Home
Eating,Leave_Home,19,19,38,3,Enter_Home
Leave_Home,Enter_Home,19,20,2,3,UsingPC
Enter_Home,UsingPC,23,23,185,3,Sleeping
UsingPC,Sleeping,5,5,399,3,Eating
Sleeping,Eating,6,6,17,4,Leave_Home
Eating,Leave_Home,6,6,28,4,Enter_Home
Leave_Home,Enter_Home,6,6,2,4,Exercise
Enter_Home,Exercise,8,8,90,4,Bathing
Exercise,Bathing,8,9,25,4,UsingPC
Bathing,UsingPC,11,11,174,4,Eating
UsingPC,Eating,13,13,70,4,UsingPC
Eating,UsingPC,18,18,294,4,Eating
UsingPC,Eating,19,19,53,4,Leave_Home
Eating,Leave_Home,20,20,45,4,Enter_Home
Leave_Home,Enter_Home,20,20,2,4,UsingPC
Enter_Home,UsingPC,23,23,180,4,Sleeping
UsingPC,Sleeping,6,6,402,4,Eating
Sleeping,Eating,6,6,25,5,Leave_Home
Eating,Leave_Home,6,6,23,5,Enter_Home
Leave_Home,Enter_Home,7,7,1,5,Exercise
Enter_Home,Exercise,8,8,93,5,Bathing
Exercise,Bathing,9,9,18,5,UsingPC
Bathing,UsingPC,12,12,172,5,Eating
UsingPC,Eating,12,12,50,5,UsingPC
Eating,UsingPC,17,17,281,5,Eating
UsingPC,Eating,19,19,75,5,Leave_Home
Eating,Leave_Home,19,19,37,5,Enter_Home
Leave_Home,Enter_Home,19,19,3,5,UsingPC
Enter_Home,UsingPC,23,23,185,5,Sleeping
UsingPC,Sleeping,6,6,406,5,Eating
Sleeping,Eating,6,6,28,6,Leave_Home
Eating,Leave_Home,7,7,30,6,Enter_Home
Leave_Home,Enter_Home,7,7,4,6,Exercise
Enter_Home,Exercise,8,9,85,6,Bathing
Exercise,Bathing,9,9,20,6,UsingPC
Bathing,UsingPC,12,12,190,6,Eating
UsingPC,Eating,13,13,57,6,UsingPC
Eating,UsingPC,17,17,236,6,Eating
UsingPC,Eating,18,18,55,6,Leave_Home
Eating,Leave_Home,19,19,45,6,Enter_Home
Leave_Home,Enter_Home,19,19,3,6,UsingPC
Enter_Home,UsingPC,23,23,207,6,Sleeping
UsingPC,Sleeping,5,5,392,6,Eating
Sleeping,Eating,6,6,17,0,Leave_Home
Eating,Leave_Home,6,6,29,0,Enter_Home
Leave_Home,Enter_Home,6,6,3,0,Exercise
Enter_Home,Exercise,8,8,80,0,Bathing
Exercise,Bathing,8,5,29,0,UsingPC
Bathing,UsingPC,11,11,355,0,Eating
UsingPC,Eating,12,13,56,0,UsingPC
Eating,UsingPC,17,17,294,0,Eating
UsingPC,Eating,18,18,55,0,Leave_Home
Eating,Leave_Home,19,19,39,0,Enter_Home
Leave_Home,Enter_Home,19,19,2,0,UsingPC
Enter_Home,UsingPC,23,23,212,0,Sleeping
UsingPC,Sleeping,9,9,625,0,Bathing
Sleeping,Bathing,10,10,15,1,Eating
Bathing,Eating,10,10,10,1,UsingPC
Eating,UsingPC,15,15,312,1,Exercise
UsingPC,Exercise,18,18,177,1,Bathing
Exercise,Bathing,19,19,12,1,Eating
Bathing,Eating,19,20,54,1,UsingPC
Eating,UsingPC,23,23,217,1,Sleeping
UsingPC,Sleeping,9,9,585,1,Eating
Sleeping,Eating,9,10,14,2,UsingPC
Eating,UsingPC,15,18,343,2,Exercise
UsingPC,Exercise,18,18,3,2,Bathing
Exercise,Bathing,19,19,10,2,Eating
Bathing,Eating,20,20,53,2,UsingPC
Eating,UsingPC,23,23,170,2,Sleeping
UsingPC,Sleeping,6,6,410,2,Eating
Sleeping,Eating,6,6,16,3,Leave_Home
Eating,Leave_Home,7,7,40,3,Enter_Home
Leave_Home,Enter_Home,7,7,2,3,Exercise
Enter_Home,Exercise,8,8,85,3,Bathing
Exercise,Bathing,9,9,20,3,UsingPC
Bathing,UsingPC,11,11,167,3,Eating
UsingPC,Eating,13,13,67,3,UsingPC
Eating,UsingPC,18,18,294,3,Eating
UsingPC,Eating,19,19,98,3,Leave_Home
Eating,Leave_Home,20,20,48,3,Enter_Home
Leave_Home,Enter_Home,20,20,4,3,UsingPC
Enter_Home,UsingPC,23,23,136,3,Sleeping
UsingPC,Sleeping,5,6,402,3,Eating
Sleeping,Eating,6,6,18,4,Leave_Home
Eating,Leave_Home,6,6,30,4,Enter_Home
Leave_Home,Enter_Home,6,7,2,4,Exercise
Enter_Home,Exercise,8,8,86,4,Bathing
Exercise,Bathing,8,9,22,4,UsingPC
Bathing,UsingPC,11,11,167,4,Eating
UsingPC,Eating,13,13,61,4,UsingPC
Eating,UsingPC,18,18,294,4,Eating
UsingPC,Eating,18,18,35,4,Leave_Home
Eating,Leave_Home,19,19,50,4,Enter_Home
Leave_Home,Enter_Home,19,19,2,4,UsingPC
Enter_Home,UsingPC,23,23,221,4,Sleeping
UsingPC,Sleeping,5,5,376,4,Eating
Sleeping,Eating,6,6,19,5,Leave_Home
Eating,Leave_Home,6,6,36,5,Enter_Home
Leave_Home,Enter_Home,7,7,2,5,Exercise
Enter_Home,Exercise,8,8,84,5,Bathing
Exercise,Bathing,8,8,19,5,UsingPC
Bathing,UsingPC,11,11,171,5,Eating
UsingPC,Eating,13,13,64,5,UsingPC
Eating,UsingPC,18,18,293,5,Eating
UsingPC,Eating,18,19,44,5,Leave_Home
Eating,Leave_Home,19,19,51,5,Enter_Home
Leave_Home,Enter_Home,20,20,2,5,UsingPC
Enter_Home,UsingPC,23,23,192,5,Sleeping
UsingPC,Sleeping,6,6,405,5,Eating
Sleeping,Eating,6,6,25,6,Leave_Home
Eating,Leave_Home,7,7,35,6,Enter_Home
Leave_Home,Enter_Home,7,7,3,6,Exercise
Enter_Home,Exercise,8,8,82,6,Bathing
Exercise,Bathing,9,9,15,6,UsingPC
Bathing,UsingPC,12,12,175,6,Eating
UsingPC,Eating,13,13,55,6,UsingPC
Eating,UsingPC,18,18,296,6,Eating
UsingPC,Eating,19,19,56,6,Leave_Home
Eating,Leave_Home,19,19,36,6,Enter_Home
Leave_Home,Enter_Home,19,20,4,6,UsingPC
Enter_Home,UsingPC,23,23,190,6,Sleeping
UsingPC,Sleeping,5,6,404,6,Eating
Sleeping,Eating,6,6,30,0,Leave_Home
Eating,Leave_Home,7,7,27,0,Enter_Home
Leave_Home,Enter_Home,7,7,2,0,Exercise
Enter_Home,Exercise,8,8,80,0,Bathing
Exercise,Bathing,8,8,22,0,UsingPC
Bathing,UsingPC,12,12,186,0,Eating
UsingPC,Eating,13,13,50,0,UsingPC
Eating,UsingPC,17,17,279,0,Eating
UsingPC,Eating,18,18,40,0,Leave_Home
Eating,Leave_Home,19,19,42,0,Enter_Home
Leave_Home,Enter_Home,19,19,2,0,UsingPC
Enter_Home,UsingPC,23,23,254,0,Sleeping
UsingPC,Sleeping,8,8,548,0,Bathing
Sleeping,Bathing,9,9,31,1,Eating
Bathing,Eating,9,10,19,1,UsingPC
Eating,UsingPC,14,15,286,1,Exercise
UsingPC,Exercise,18,18,190,1,Bathing
Exercise,Bathing,18,18,25,1,Eating
Bathing,Eating,19,20,72,1,UsingPC
Eating,UsingPC,23,23,220,1,Sleeping
UsingPC,Sleeping,9,9,555,1,Bathing
Sleeping,Bathing,9,9,35,2,Eating
Bathing,Eating,10,10,22,2,UsingPC
Eating,UsingPC,16,16,350,2,Exercise
UsingPC,Exercise,19,19,176,2,Bathing
Exercise,Bathing,19,19,26,2,Eating
Bathing,Eating,20,21,69,2,UsingPC
Eating,UsingPC,23,23,155,2,Sleeping
UsingPC,Sleeping,7,7,453,2,Bathing
Sleeping,Bathing,7,7,7,3,UsingPC
Bathing,UsingPC,7,7,25,3,Leave_Home
UsingPC,Leave_Home,8,8,37,2,Enter_Home
Leave_Home,Enter_Home,8,8,5,3,Eating
Enter_Home,Eating,9,9,20,3,UsingPC
Eating,UsingPC,11,12,155,3,Eating
UsingPC,Eating,12,13,52,3,UsingPC
Eating,UsingPC,17,17,272,3,Eating
UsingPC,Eating,17,18,19,3,Leave_Home
Eating,Leave_Home,18,18,40,3,Enter_Home
Leave_Home,Enter_Home,18,18,5,3,Exercise
Enter_Home,Exercise,20,20,90,3,Bathing
Exercise,Bathing,20,21,24,3,UsingPC
Bathing,UsingPC,0,0,180,3,Sleeping
UsingPC,Sleeping,6,6,360,4,Bathing
Sleeping,Bathing,6,6,27,4,Eating
Bathing,Eating,7,7,69,4,Leave_Home
Eating,Leave_Home,8,8,31,4,Enter_Home
Leave_Home,Enter_Home,8,8,3,4,UsingPC
Enter_Home,UsingPC,11,11,199,4,Eating
UsingPC,Eating,13,13,62,4,UsingPC
Eating,UsingPC,18,18,295,4,Leave_Home
UsingPC,Leave_Home,18,18,40,4,Enter_Home
Leave_Home,Enter_Home,18,18,3,4,Eating
Enter_Home,Eating,19,20,60,4,UsingPC
Eating,UsingPC,23,23,207,4,Bathing
UsingPC,Bathing,23,0,23,4,Sleeping
Bathing,Sleeping,6,6,414,5,Bathing
Sleeping,Bathing,7,7,19,5,UsingPC
Bathing,UsingPC,7,7,30,5,Leave_Home
UsingPC,Leave_Home,8,8,38,5,Enter_Home
Leave_Home,Enter_Home,8,8,2,5,Eating
Enter_Home,Eating,9,9,26,5,UsingPC
Eating,UsingPC,11,11,156,5,Eating
UsingPC,Eating,12,12,49,5,UsingPC
Eating,UsingPC,17,17,280,5,Eating
UsingPC,Eating,18,18,43,5,Leave_Home
Eating,Leave_Home,19,19,45,5,Enter_Home
Leave_Home,Enter_Home,19,19,3,5,Exercise
Enter_Home,Exercise,21,21,96,5,Bathing
Exercise,Bathing,21,21,20,5,UsingPC
Bathing,UsingPC,23,23,138,5,Sleeping
UsingPC,Sleeping,6,6,415,5,Bathing
Sleeping,Bathing,7,7,20,6,UsingPC
Bathing,UsingPC,7,8,38,6,Leave_Home
UsingPC,Leave_Home,8,8,38,6,Enter_Home
Leave_Home,Enter_Home,8,8,2,6,Eating
Enter_Home,Eating,9,9,17,6,UsingPC
Eating,UsingPC,11,11,153,6,Eating
UsingPC,Eating,13,13,76,6,UsingPC
Eating,UsingPC,18,18,324,6,Leave_Home
UsingPC,Leave_Home,19,19,23,6,Enter_Home
Leave_Home,Enter_Home,19,19,2,6,Eating
Enter_Home,Eating,19,20,44,6,UsingPC
Eating,UsingPC,23,1,227,6,Sleeping
UsingPC,Sleeping,7,7,367,0,Bathing
Sleeping,Bathing,7,7,20,0,Eating
Bathing,Eating,8,8,30,0,Leave_Home
Eating,Leave_Home,8,8,41,0,Enter_Home
Leave_Home,Enter_Home,8,9,4,0,UsingPC
Enter_Home,UsingPC,11,11,175,0,Eating
UsingPC,Eating,12,13,59,0,UsingPC
Eating,UsingPC,18,18,295,0,Eating
UsingPC,Eating,18,19,53,0,Leave_Home
Eating,Leave_Home,19,19,40,0,Enter_Home
Leave_Home,Enter_Home,19,19,2,0,Exercise
Enter_Home,Exercise,21,21,65,0,Bathing
Exercise,Bathing,21,21,35,0,UsingPC
Bathing,UsingPC,23,7,133,0,Exercise
UsingPC,Exercise,9,9,142,1,Bathing
Exercise,Bathing,10,10,30,1,Eating
Bathing,Eating,10,10,30,1,UsingPC
Eating,UsingPC,18,18,494,1,Eating
UsingPC,Eating,19,19,45,1,UsingPC
Eating,UsingPC,23,23,235,1,Bathing
UsingPC,Bathing,0,0,42,1,Sleeping
Bathing,Sleeping,8,8,472,2,Eating
Sleeping,Eating,9,9,49,2,UsingPC
Eating,UsingPC,12,12,180,2,Eating
UsingPC,Eating,13,14,83,2,UsingPC
Eating,UsingPC,19,19,327,2,Eating
UsingPC,Eating,20,20,50,2,UsingPC
Eating,UsingPC,23,23,175,2,Bathing
UsingPC,Bathing,23,0,24,2,Sleeping
Bathing,Sleeping,6,7,414,3,Bathing
Sleeping,Bathing,7,7,25,3,UsingPC
Bathing,UsingPC,7,7,13,3,Leave_Home
UsingPC,Leave_Home,8,8,28,3,Enter_Home
Leave_Home,Enter_Home,8,8,3,3,Eating
Enter_Home,Eating,9,9,25,3,UsingPC
Eating,UsingPC,12,12,180,3,Eating
UsingPC,Eating,13,13,57,3,UsingPC
Eating,UsingPC,17,17,260,3,Eating
UsingPC,Eating,18,18,25,3,Leave_Home
Eating,Leave_Home,19,19,50,3,Enter_Home
Leave_Home,Enter_Home,19,19,2,3,Exercise
Enter_Home,Exercise,21,21,115,3,Bathing
Exercise,Bathing,21,21,20,3,UsingPC
Bathing,UsingPC,23,23,123,3,Sleeping
UsingPC,Sleeping,7,7,453,3,Bathing
Sleeping,Bathing,7,7,10,4,Eating
Bathing,Eating,7,7,26,4,Leave_Home
Eating,Leave_Home,8,8,35,4,Enter_Home
Leave_Home,Enter_Home,8,8,3,4,UsingPC
Enter_Home,UsingPC,12,12,195,4,Eating
UsingPC,Eating,13,13,57,4,UsingPC
Eating,UsingPC,18,18,290,4,Leave_Home
UsingPC,Leave_Home,19,19,53,4,Enter_Home
Leave_Home,Enter_Home,19,19,2,4,Eating
Enter_Home,Eating,19,20,51,4,UsingPC
Eating,UsingPC,23,23,185,4,Bathing
UsingPC,Bathing,23,23,30,4,Sleeping
Bathing,Sleeping,6,6,422,4,Bathing
Sleeping,Bathing,7,7,18,5,UsingPC
Bathing,UsingPC,7,7,38,5,Leave_Home
UsingPC,Leave_Home,8,8,24,5,Enter_Home
Leave_Home,Enter_Home,8,8,3,5,Eating
Enter_Home,Eating,8,8,20,5,UsingPC
Eating,UsingPC,11,12,183,5,Eating
UsingPC,Eating,12,12,40,5,UsingPC
Eating,UsingPC,17,17,300,5,Eating
UsingPC,Eating,18,19,60,5,Leave_Home
Eating,Leave_Home,20,20,60,5,Enter_Home
Leave_Home,Enter_Home,20,20,3,5,Exercise
Enter_Home,Exercise,22,22,114,5,Bathing
Exercise,Bathing,22,22,33,5,UsingPC
Bathing,UsingPC,23,23,66,5,Sleeping
UsingPC,Sleeping,6,6,408,5,Bathing
Sleeping,Bathing,7,7,18,6,UsingPC
Bathing,UsingPC,7,7,27,6,Leave_Home
UsingPC,Leave_Home,8,8,36,6,Enter_Home
Leave_Home,Enter_Home,8,8,1,6,Eating
Enter_Home,Eating,8,8,30,6,UsingPC
Eating,UsingPC,12,12,195,6,Eating
UsingPC,Eating,12,13,31,6,UsingPC
Eating,UsingPC,17,17,285,6,Leave_Home
UsingPC,Leave_Home,18,18,41,6,Enter_Home
Leave_Home,Enter_Home,18,18,2,6,Eating
Enter_Home,Eating,19,20,76,6,UsingPC
Eating,UsingPC,23,23,205,6,Sleeping
UsingPC,Sleeping,6,6,437,6,Bathing
Sleeping,Bathing,7,7,26,0,Eating
Bathing,Eating,8,8,14,0,Leave_Home
Eating,Leave_Home,8,8,39,0,Enter_Home
Leave_Home,Enter_Home,8,9,3,0,UsingPC
Enter_Home,UsingPC,11,11,175,0,Eating
UsingPC,Eating,13,13,66,0,UsingPC
Eating,UsingPC,18,18,310,0,Eating
UsingPC,Eating,19,20,85,0,Leave_Home
Eating,Leave_Home,20,20,32,0,Enter_Home
Leave_Home,Enter_Home,20,20,2,0,Exercise
Enter_Home,Exercise,22,22,80,0,Bathing
Exercise,Bathing,22,22,25,0,UsingPC
Bathing,UsingPC,23,23,48,0,Sleeping
UsingPC,Sleeping,8,9,556,0,Exercise
Sleeping,Exercise,11,11,130,1,Bathing
Exercise,Bathing,11,11,20,1,Eating
Bathing,Eating,13,13,80,1,UsingPC
Eating,UsingPC,18,18,290,1,Eating
UsingPC,Eating,19,19,89,1,UsingPC
Eating,UsingPC,23,23,196,1,Bathing
UsingPC,Bathing,23,23,26,1,Sleeping
Bathing,Sleeping,9,9,545,1,Eating
Sleeping,Eating,9,9,50,2,UsingPC
Eating,UsingPC,12,12,136,2,Eating
UsingPC,Eating,13,14,91,2,UsingPC
Eating,UsingPC,19,19,295,2,Eating
UsingPC,Eating,19,20,50,2,UsingPC
Eating,UsingPC,23,23,232,2,Bathing
UsingPC,Bathing,0,0,25,2,Sleeping
Bathing,Sleeping,7,7,446,3,Bathing
Sleeping,Bathing,7,8,7,3,Leave_Home
Bathing,Leave_Home,8,8,38,3,Enter_Home
Leave_Home,Enter_Home,8,8,2,3,Eating
Enter_Home,Eating,9,9,25,3,UsingPC
Eating,UsingPC,11,11,155,3,Eating
UsingPC,Eating,12,12,55,3,UsingPC
Eating,UsingPC,17,17,295,3,Leave_Home
UsingPC,Leave_Home,18,18,33,3,Enter_Home
Leave_Home,Enter_Home,18,18,2,3,Eating
Enter_Home,Eating,20,20,85,3,UsingPC
Eating,UsingPC,0,0,261,3,Sleeping
UsingPC,Sleeping,7,7,425,4,Bathing
Sleeping,Bathing,7,8,16,4,Leave_Home
Bathing,Leave_Home,8,8,47,4,Enter_Home
Leave_Home,Enter_Home,8,9,2,4,Eating
Enter_Home,Eating,9,9,20,4,UsingPC
Eating,UsingPC,11,11,144,4,Eating
UsingPC,Eating,12,12,54,4,UsingPC
Eating,UsingPC,17,17,293,4,Leave_Home
UsingPC,Leave_Home,18,18,45,4,Enter_Home
Leave_Home,Enter_Home,18,18,2,4,Eating
Enter_Home,Eating,19,19,60,4,UsingPC
Eating,UsingPC,0,0,297,4,Sleeping
UsingPC,Sleeping,7,7,414,5,Bathing
Sleeping,Bathing,8,8,13,5,Leave_Home
Bathing,Leave_Home,8,8,30,5,Enter_Home
Leave_Home,Enter_Home,8,8,2,5,Eating
Enter_Home,Eating,9,9,23,5,UsingPC
Eating,UsingPC,11,11,155,5,Eating
UsingPC,Eating,13,13,62,5,UsingPC
Eating,UsingPC,18,18,295,5,Leave_Home
UsingPC,Leave_Home,18,18,45,5,Enter_Home
Leave_Home,Enter_Home,18,18,2,5,Eating
Enter_Home,Eating,20,20,73,5,UsingPC
Eating,UsingPC,0,0,255,5,Sleeping
UsingPC,Sleeping,7,7,415,6,Bathing
Sleeping,Bathing,8,8,15,6,Leave_Home
Bathing,Leave_Home,8,8,35,6,Enter_Home
Leave_Home,Enter_Home,8,8,2,6,Eating
Enter_Home,Eating,9,9,20,6,UsingPC
Eating,UsingPC,11,12,162,6,Eating
UsingPC,Eating,12,12,37,6,UsingPC
Eating,UsingPC,17,17,285,6,Leave_Home
UsingPC,Leave_Home,18,18,50,6,Enter_Home
Leave_Home,Enter_Home,18,18,3,6,Eating
Enter_Home,Eating,19,19,43,6,UsingPC
Eating,UsingPC,0,0,283,6,Sleeping
UsingPC,Sleeping,7,7,415,0,Bathing
Sleeping,Bathing,7,8,17,0,Leave_Home
Bathing,Leave_Home,8,8,38,0,Enter_Home
Leave_Home,Enter_Home,8,8,2,0,Eating
Enter_Home,Eating,9,9,20,0,UsingPC
Eating,UsingPC,12,12,190,0,Eating
UsingPC,Eating,13,13,55,0,UsingPC
Eating,UsingPC,17,17,230,0,Leave_Home
UsingPC,Leave_Home,18,18,33,0,Enter_Home
Leave_Home,Enter_Home,18,18,2,0,Eating
Enter_Home,Eating,19,19,65,0,UsingPC
Eating,UsingPC,0,0,295,0,Sleeping
UsingPC,Sleeping,10,10,598,1,Eating
Sleeping,Eating,10,10,3,1,Exercise
Eating,Exercise,13,13,170,1,Bathing
Exercise,Bathing,14,14,33,1,UsingPC
Bathing,UsingPC,17,17,200,1,Eating
UsingPC,Eating,19,19,112,1,UsingPC
Eating,UsingPC,23,23,265,1,Sleeping
UsingPC,Sleeping,9,9,566,1,Eating
Sleeping,Eating,9,10,29,2,Exercise
Eating,Exercise,13,13,200,2,Bathing
Exercise,Bathing,13,14,30,2,UsingPC
Bathing,UsingPC,17,17,195,2,Eating
UsingPC,Eating,19,19,125,2,UsingPC
Eating,UsingPC,23,0,256,2,Sleeping
UsingPC,Sleeping,7,7,450,3,Bathing
Sleeping,Bathing,8,8,14,3,Leave_Home
Bathing,Leave_Home,8,8,38,3,Enter_Home
Leave_Home,Enter_Home,8,8,3,3,Eating
Enter_Home,Eating,9,8,27,3,UsingPC
Eating,UsingPC,12,12,236,3,Eating
UsingPC,Eating,13,13,56,3,UsingPC
Eating,UsingPC,18,18,296,3,Leave_Home
UsingPC,Leave_Home,19,19,33,3,Enter_Home
Leave_Home,Enter_Home,19,19,2,3,Eating
Enter_Home,Eating,19,20,49,3,UsingPC
Eating,UsingPC,0,12,244,3,Sleeping
UsingPC,Sleeping,19,7,451,4,Bathing
Sleeping,Bathing,7,8,7,4,Leave_Home
Bathing,Leave_Home,8,8,38,4,Enter_Home
Leave_Home,Enter_Home,8,8,2,4,Eating
Enter_Home,Eating,9,9,25,4,UsingPC
Eating,UsingPC,11,11,155,4,Eating
UsingPC,Eating,12,12,55,4,UsingPC
Eating,UsingPC,17,17,295,4,Leave_Home
UsingPC,Leave_Home,18,18,33,4,Enter_Home
Leave_Home,Enter_Home,18,18,2,4,Eating
Enter_Home,Eating,20,20,85,4,UsingPC
Eating,UsingPC,0,0,261,4,Sleeping
UsingPC,Sleeping,7,7,425,5,Bathing
Sleeping,Bathing,7,8,16,5,Leave_Home
Bathing,Leave_Home,8,8,47,5,Enter_Home
Leave_Home,Enter_Home,8,9,2,5,Eating
Enter_Home,Eating,9,9,20,5,UsingPC
Eating,UsingPC,11,11,144,5,Eating
UsingPC,Eating,12,12,54,5,UsingPC
Eating,UsingPC,17,17,293,5,Leave_Home
UsingPC,Leave_Home,18,18,45,5,Enter_Home
Leave_Home,Enter_Home,18,18,2,5,Eating
Enter_Home,Eating,19,19,60,5,UsingPC
Eating,UsingPC,0,0,297,5,Sleeping
UsingPC,Sleeping,7,7,414,6,Bathing
Sleeping,Bathing,8,8,13,6,Leave_Home
Bathing,Leave_Home,8,8,30,6,Enter_Home
Leave_Home,Enter_Home,8,8,2,6,Eating
Enter_Home,Eating,9,9,23,6,UsingPC
Eating,UsingPC,11,11,155,6,Eating
UsingPC,Eating,13,13,62,6,UsingPC
Eating,UsingPC,18,18,295,6,Leave_Home
UsingPC,Leave_Home,18,18,45,6,Enter_Home
Leave_Home,Enter_Home,18,18,2,6,Eating
Enter_Home,Eating,20,20,73,6,UsingPC
Eating,UsingPC,0,0,255,6,Sleeping
UsingPC,Sleeping,7,7,415,0,Bathing
Sleeping,Bathing,8,8,15,0,Leave_Home
Bathing,Leave_Home,8,8,5,0,Enter_Home
Leave_Home,Enter_Home,8,8,5,0,Eating
Enter_Home,Eating,9,9,20,0,UsingPC
Eating,UsingPC,11,11,157,0,Eating
UsingPC,Eating,13,13,62,0,UsingPC
Eating,UsingPC,18,18,296,0,Leave_Home
UsingPC,Leave_Home,18,18,43,0,Enter_Home
Leave_Home,Enter_Home,18,19,3,0,Eating
Enter_Home,Eating,19,20,58,0,UsingPC
Eating,UsingPC,0,0,240,0,Sleeping
UsingPC,Sleeping,10,10,596,1,Eating
Sleeping,Eating,10,10,30,1,Exercise
Eating,Exercise,14,14,196,1,Bathing
Exercise,Bathing,14,14,33,1,UsingPC
Bathing,UsingPC,17,17,136,1,Eating
UsingPC,Eating,19,19,113,1,UsingPC
Eating,UsingPC,0,0,296,1,Sleeping
UsingPC,Sleeping,10,10,596,2,Eating
Sleeping,Eating,10,2,30,2,Bathing
Eating,Bathing,2,3,24,2,UsingPC
Bathing,UsingPC,6,6,200,2,Eating
UsingPC,Eating,7,7,50,2,UsingPC
Eating,UsingPC,11,11,230,2,Sleeping
